id,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price(£)
0,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128,Intel Iris Plus Graphics 640,macOS,705.74
1,13.3,1440x900,Intel Core i5 1.8GHz,8,128,Intel HD Graphics 6000,macOS,473.56
2,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,No OS,302.91
3,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512,AMD Radeon Pro 455,macOS,1336.71
4,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256,Intel Iris Plus Graphics 650,macOS,950.13
5,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500,AMD Radeon R5,Windows 10,210.72
6,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256,Intel Iris Pro Graphics,Mac OS X,1127.32
7,13.3,1440x900,Intel Core i5 1.8GHz,8,256,Intel HD Graphics 6000,macOS,610.4
8,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce MX150,Windows 10,787.56
9,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,405.63
10,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500,Intel HD Graphics 620,No OS,207.5
11,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,No OS,181.74
12,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256,AMD Radeon Pro 555,macOS,1285.36
13,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 M430,Windows 10,262.82
14,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256,Intel HD Graphics 615,macOS,665.03
15,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256,Intel Iris Plus Graphics 640,macOS,799.96
16,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R5 M430,Windows 10,392.46
17,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512,AMD Radeon Pro 560,macOS,1505.58
18,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1,Nvidia GeForce 940MX,No OS,262.87
19,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128,Intel UHD Graphics 620,Windows 10,515.73
20,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32,Intel HD Graphics 400,Windows 10,101.09
21,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128,Nvidia GeForce GTX 1050,Windows 10,526.27
22,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500,AMD Radeon R2,No OS,135.91
23,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,431.44
24,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel HD Graphics 620,Windows 10,347.16
25,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1,Intel HD Graphics 520,Windows 10,220.54
26,13.3,1440x900,Intel Core i5 1.6GHz,8,128,Intel HD Graphics 6000,Mac OS X,578.95
27,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 530,Windows 10,421.44
28,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,512,Intel UHD Graphics 620,Windows 10,683.78
29,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1,Nvidia GeForce 930MX,Windows 10,472.01
30,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64,Intel HD Graphics,Windows 10,129.06
31,14,1366x768,AMD E-Series E2-6110 1.5GHz,2,32,AMD Radeon R2,Windows 10,104.83
32,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500,AMD Radeon 530,Windows 10,231.26
33,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,984.58
34,13.3,1440x900,Intel Core i5 1.6GHz,8,256,Intel HD Graphics 6000,Mac OS X,525.74
35,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64,Intel HD Graphics 500,Windows 10,131.17
36,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1,Intel HD Graphics 620,Linux,193.33
37,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128,AMD Radeon 530,Windows 10,515.73
38,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1,Intel HD Graphics 620,Windows 10,257.44
39,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 930MX ,Windows 10,463.05
40,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1,Intel HD Graphics 620,Linux,204.92
41,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows 10,789.67
42,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1,Nvidia GeForce 940MX,Linux,275.51
43,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256,Intel UHD Graphics 620,Windows 10,359.27
44,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1,Nvidia GeForce 150MX,Windows 10,526.27
45,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8,256,Intel Iris Graphics 540,macOS,747.52
46,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,No OS,194.39
47,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,256,AMD Radeon RX 580,Windows 10,684.31
48,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256,AMD Radeon R5 M430,Windows 10,336.62
49,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1,Nvidia GeForce 920MX,Windows 10,245.49
50,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64,Intel HD Graphics 400,Android,168.05
51,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce MX150,Windows 10,443.03
52,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256,AMD Radeon R4 Graphics,Windows 10,209.92
53,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,581.05
54,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1,Intel HD Graphics 620,Windows 10,202.29
55,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 520,Windows 10,404.47
56,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,231.26
57,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256,Intel HD Graphics 620,Windows 10,308.8
58,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1070,Windows 10,1290.12
59,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256,Intel HD Graphics 520,Linux,218.62
60,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256,AMD Radeon 530,Windows 10,684.31
61,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,463.05
62,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,256,Intel HD Graphics 620,No OS,315.55
63,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,495.71
64,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,363.49
65,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050 Ti,Windows 10,1044.63
66,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500,AMD Radeon 520,Windows 10,231.1
67,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32,Intel HD Graphics 400,Windows 10,120.64
68,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1,Intel HD Graphics 620,Windows 10,289.21
69,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1,Nvidia GeForce GTX 1050 Ti,Linux,499.93
70,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,Windows 10 S,573.68
71,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,503.09
72,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,458.31
73,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128,Nvidia GeForce GTX 1050,Windows 10,576.84
74,14,1366x768,Intel Core i3 6006U 2GHz,8,1,Intel HD Graphics 520,Windows 10,204.92
75,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1,Nvidia GeForce GTX 1050,Windows 10,499.93
76,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,2,Intel HD Graphics 620,No OS,273.41
77,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,Intel UHD Graphics 620,Windows 10,450.41
78,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1,Nvidia GeForce MX130,Windows 10,279.2
79,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128,Nvidia GeForce 930MX,Windows 10,514.68
80,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,577.45
81,12,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8,512,Intel HD Graphics 615,macOS,795.46
82,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel HD Graphics 620,Windows 10,453.04
